Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1336,ATAD2,Cluster 1,96,Component 2,35,3,1,32
1337,SHQ1,Cluster 129,9,Component 2,3,0,1,3
1338,TPST1,Cluster 1356,2,Component 476,1,0,1,1
1339,CPN1,Cluster 4323,1,Component 477,0,0,1,0
1340,LYN,Cluster 232,6,Component 2,6,0,1,6
1341,GALR1,Cluster 4322,1,Component 478,0,0,1,0
1342,COA5,Cluster 782,3,Component 2,2,0,1,2
1343,MRAS,Cluster 4321,1,Component 479,0,0,1,0
1344,GABRG3,Cluster 4320,1,Component 480,0,0,1,0
1345,ENSG00000260643,Cluster 4319,1,Component 481,0,0,1,0
1346,KLHL20,Cluster 78,13,Component 2,3,1,1,2
1347,CSH2,Cluster 4318,1,Component 482,0,0,1,0
1348,TNP2,Cluster 4317,1,Component 483,0,0,1,0
1349,RAB1A,Cluster 1355,2,Component 2,17,0,1,17
1350,HSPH1,Cluster 231,6,Component 2,18,1,1,17
1351,AADACL2,Cluster 4316,1,Component 484,0,0,1,0
1352,ERC1,Cluster 320,5,Component 2,4,1,1,3
1353,SLPI,Cluster 19,29,Component 2,10,1,1,9
1354,BMI1,Cluster 781,3,Component 2,1,0,1,1
1355,ASS1,Cluster 4315,1,Component 485,0,0,1,0
1356,GOLGA7B,Cluster 4314,1,Component 486,0,0,1,0
1357,DHX29,Cluster 351,5,Component 2,6,2,1,4
1358,SPTBN4,Cluster 1354,2,Component 487,1,0,1,1
1359,METTL18,Cluster 197,7,Component 2,10,2,1,8
1360,LY9,Cluster 2,70,Component 2,14,1,1,13
1361,FASTKD1,Cluster 1435,2,Component 2,1,1,1,0
1362,CPT1A,Cluster 359,5,Component 2,2,1,1,1
1363,DNAJB1,Cluster 231,6,Component 2,16,2,1,14
1364,BRF2,Cluster 32,24,Component 2,11,1,1,10
1365,RPRD1A,Cluster 25,26,Component 2,12,3,1,9
1366,ANKK1,Cluster 4313,1,Component 488,0,0,1,0
1367,S100A7,Cluster 469,4,Component 2,11,3,1,8
1368,AHSP,Cluster 15,31,Component 2,17,2,1,15
1369,NNT,Cluster 780,3,Component 2,4,0,1,4
1370,MAGEB10,Cluster 4312,1,Component 489,0,0,1,0
1371,HMOX2,Cluster 47,19,Component 2,6,0,1,6
1372,CCDC96,Cluster 1503,2,Component 63,1,1,1,0
1373,U2SURP,Cluster 99,11,Component 2,11,0,1,11
1374,RRP7A,Cluster 779,3,Component 2,5,0,1,5
1375,CEP83,Cluster 778,3,Component 2,2,0,1,2
1376,PGRMC1,Cluster 50,18,Component 2,11,2,1,9
1377,SNX11,Cluster 468,4,Component 2,4,1,1,3
1378,VIPR1,Cluster 4311,1,Component 490,0,0,1,0
1379,RRP9,Cluster 777,3,Component 2,4,0,1,4
1380,GNAS,Cluster 467,4,Component 2,6,0,1,6
1381,CEBPZOS,Cluster 254,6,Component 2,3,0,1,3
1382,XIRP1,Cluster 1353,2,Component 491,1,0,1,1
1383,PRAF2,Cluster 776,3,Component 2,5,0,1,5
1384,SLTM,Cluster 1352,2,Component 2,13,3,1,10
1385,CCDC86,Cluster 777,3,Component 2,3,0,1,3
1386,CRTC3,Cluster 334,5,Component 2,4,0,1,4
1387,APOF,Cluster 4310,1,Component 492,0,0,1,0
1388,AKR7A2,Cluster 466,4,Component 2,7,0,1,7
1389,PTH,Cluster 1351,2,Component 493,1,0,1,1
1390,KIR3DL1,Cluster 551,4,Component 2,4,2,1,2
1391,PSMC1,Cluster 1350,2,Component 2,26,3,1,23
1392,NFATC3,Cluster 79,13,Component 2,12,3,1,9
1393,LMAN1L,Cluster 4309,1,Component 494,0,0,1,0
1394,FILIP1,Cluster 4308,1,Component 495,0,0,1,0
1395,CASK,Cluster 159,8,Component 2,2,0,1,2
1396,B4GAT1,Cluster 4307,1,Component 496,0,0,1,0
1397,DCLRE1B,Cluster 1349,2,Component 2,1,0,1,1
1398,ASRGL1,Cluster 1348,2,Component 2,1,0,1,1
1399,POGLUT2,Cluster 1347,2,Component 497,1,0,1,1
1400,ZNF124,Cluster 4306,1,Component 498,0,0,1,0
1401,SLC25A22,Cluster 4305,1,Component 499,0,0,1,0
1402,IL1B,Cluster 775,3,Component 2,38,5,1,33
1403,ARPC5L,Cluster 550,4,Component 2,6,1,1,5
1404,ZNF770,Cluster 774,3,Component 2,1,0,1,1
1405,DCHS1,Cluster 1346,2,Component 2,3,0,1,3
1406,RAPH1,Cluster 4304,1,Component 500,0,0,1,0
1407,MUC15,Cluster 4303,1,Component 501,0,0,1,0
1408,FH,Cluster 1345,2,Component 2,32,6,1,26
1409,TOMM20,Cluster 495,4,Component 2,26,5,1,21
1410,ZNF75D,Cluster 773,3,Component 2,3,1,1,2
1411,VWA5A,Cluster 100,11,Component 2,3,0,1,3
1412,STIM2,Cluster 4302,1,Component 502,0,0,1,0
1413,SLC6A8,Cluster 772,3,Component 2,1,0,1,1
1414,SLC10A2,Cluster 1344,2,Component 503,1,0,1,1
1415,AGTR2,Cluster 4301,1,Component 504,0,0,1,0
1416,PMPCB,Cluster 41,21,Component 2,13,1,1,12
1417,PPP1R17,Cluster 4300,1,Component 505,0,0,1,0
1418,PTPRR,Cluster 536,4,Component 2,1,1,1,0
1419,C12orf57,Cluster 4,61,Component 2,3,0,1,3
1420,OSER1,Cluster 89,12,Component 2,6,2,1,4
1421,KMT2C,Cluster 465,4,Component 2,2,1,1,1
1422,WNK3,Cluster 1343,2,Component 506,1,0,1,1
1423,ATG9A,Cluster 230,6,Component 2,3,0,1,3
1424,RHEB,Cluster 1342,2,Component 2,1,0,1,1
1425,AZIN2,Cluster 5,52,Component 2,1,0,1,1
1426,PTDSS1,Cluster 464,4,Component 2,10,0,1,10
1427,GPC4,Cluster 4299,1,Component 507,0,0,1,0
1428,ACO1,Cluster 771,3,Component 2,2,0,1,2
1429,NLRP7,Cluster 26,26,Component 2,3,1,1,2
1430,EVI2B,Cluster 463,4,Component 2,23,6,1,17
1431,DEFA4,Cluster 19,29,Component 2,21,4,1,17
1432,FOSL2,Cluster 7,39,Component 2,15,1,1,14
1433,NRAS,Cluster 36,23,Component 2,15,2,1,13
1434,FDXACB1,Cluster 863,3,Component 2,1,0,1,1
1435,ATP6V0E2,Cluster 462,4,Component 2,2,0,1,2
1436,MAP4K1,Cluster 852,3,Component 2,21,3,1,18
1437,ANGPT2,Cluster 96,11,Component 2,13,0,1,13
1438,SH2D4A,Cluster 4298,1,Component 508,0,0,1,0
1439,IL17REL,Cluster 4297,1,Component 509,0,0,1,0
1440,CYP2C19,Cluster 770,3,Component 2,1,0,1,1
1441,MAG,Cluster 335,5,Component 2,1,0,1,1
1442,IFT20,Cluster 61,16,Component 2,7,0,1,7
1443,ERI1,Cluster 9,36,Component 2,6,0,1,6
1444,SEPTIN2,Cluster 158,8,Component 2,5,1,1,4
1445,SLC27A2,Cluster 4296,1,Component 510,0,0,1,0
1446,OR5P2,Cluster 4295,1,Component 511,0,0,1,0
1447,ACSM2B,Cluster 769,3,Component 2,1,0,1,1
1448,TTLL1,Cluster 237,6,Component 2,2,0,1,2
1449,HLTF,Cluster 99,11,Component 2,3,1,1,2
1450,ZMAT5,Cluster 21,29,Component 2,7,2,1,5
1451,APOC1,Cluster 313,5,Component 2,20,1,1,19
1452,FBXO15,Cluster 4294,1,Component 512,0,0,1,0
1453,HIGD2A,Cluster 349,5,Component 2,10,2,1,8
1454,ZFP1,Cluster 4293,1,Component 513,0,0,1,0
1455,HGSNAT,Cluster 32,24,Component 2,11,1,1,10
1456,KCNIP2,Cluster 4292,1,Component 514,0,0,1,0
1457,NTM,Cluster 4291,1,Component 515,0,0,1,0
1458,CLEC11A,Cluster 16,30,Component 2,1,0,1,1
1459,WASF3,Cluster 4290,1,Component 516,0,0,1,0
1460,PRR35,Cluster 1341,2,Component 517,1,0,1,1
1461,C1orf74,Cluster 4289,1,Component 518,0,0,1,0
1462,C8A,Cluster 768,3,Component 519,2,0,1,2
1463,MEF2C,Cluster 229,6,Component 2,3,0,1,3
1464,NBPF1,Cluster 4288,1,Component 520,0,0,1,0
1465,STAC2,Cluster 4287,1,Component 521,0,0,1,0
1466,RPS6KA5,Cluster 767,3,Component 2,5,2,1,3
1467,CRKL,Cluster 1409,2,Component 2,12,2,1,10
1468,CCNQ,Cluster 22,29,Component 2,3,0,1,3
1469,DYNC2LI1,Cluster 766,3,Component 2,2,1,1,1
1470,GLRX5,Cluster 1350,2,Component 2,9,2,1,7
1471,LHFPL7,Cluster 4286,1,Component 522,0,0,1,0
1472,GPRC5D,Cluster 4285,1,Component 523,0,0,1,0
1473,FYN,Cluster 2,70,Component 2,8,0,1,8
1474,TMC6,Cluster 461,4,Component 2,4,0,1,4
1475,RPAIN,Cluster 6,45,Component 2,1,0,1,1
1476,KATNA1,Cluster 68,15,Component 2,14,2,1,12
1477,KLF6,Cluster 7,39,Component 2,26,3,1,23
1478,GATD3,Cluster 157,8,Component 2,9,1,1,8
1479,PON1,Cluster 765,3,Component 524,2,0,1,2
1480,PRPH2,Cluster 4284,1,Component 525,0,0,1,0
1481,CCDC28A,Cluster 764,3,Component 2,6,0,1,6
1482,INPP5J,Cluster 4283,1,Component 526,0,0,1,0
1483,MAEA,Cluster 88,12,Component 2,21,5,1,16
1484,ANXA8,Cluster 4282,1,Component 527,0,0,1,0
1485,PPP1CB,Cluster 4281,1,Component 2,6,1,1,5
1486,SPPL2C,Cluster 4280,1,Component 528,0,0,1,0
1487,SCRN1,Cluster 1403,2,Component 2,1,1,1,0
1488,SEMA3E,Cluster 763,3,Component 529,1,0,1,1
1489,ARHGAP9,Cluster 853,3,Component 2,4,1,1,3
1490,IFI44L,Cluster 3,64,Component 2,58,10,1,48
1491,UFM1,Cluster 17,30,Component 2,20,3,1,17
1492,MAP2,Cluster 4279,1,Component 530,0,0,1,0
1493,PFDN5,Cluster 4,61,Component 2,44,5,1,39
1494,SLC1A4,Cluster 4278,1,Component 531,0,0,1,0
1495,EIF2B4,Cluster 460,4,Component 2,11,1,1,10
1496,BAG2,Cluster 1340,2,Component 532,1,0,1,1
1497,EDEM1,Cluster 75,13,Component 2,1,0,1,1
1498,PSMC5,Cluster 459,4,Component 2,23,2,1,21
1499,SOSTDC1,Cluster 1339,2,Component 533,1,0,1,1
1500,APOA2,Cluster 39,22,Component 2,1,0,1,1
1501,SHROOM3,Cluster 128,9,Component 2,1,0,1,1
1502,ZNF99,Cluster 4277,1,Component 534,0,0,1,0
1503,TRIM13,Cluster 17,30,Component 2,16,2,1,14
1504,OSBPL2,Cluster 35,24,Component 2,13,4,1,9
1505,MPL,Cluster 762,3,Component 2,2,0,1,2
1506,MUC3A,Cluster 4276,1,Component 535,0,0,1,0
1507,UTP23,Cluster 60,16,Component 2,6,2,1,4
1508,HSPA1B,Cluster 761,3,Component 2,1,0,1,1
1509,NXT2,Cluster 50,18,Component 2,6,2,1,4
1510,RNF19B,Cluster 497,4,Component 2,1,0,1,1
1511,ITGB3,Cluster 46,19,Component 2,12,1,1,11
1512,MYOT,Cluster 4275,1,Component 536,0,0,1,0
1513,DDB2,Cluster 141,9,Component 2,7,2,1,5
1514,PTPRE,Cluster 1338,2,Component 2,3,1,1,2
1515,CD1B,Cluster 206,7,Component 2,4,0,1,4
1516,PRMT3,Cluster 135,9,Component 2,3,0,1,3
1517,ESD,Cluster 17,30,Component 2,11,2,1,9
1518,COPB1,Cluster 818,3,Component 2,11,1,1,10
1519,SNAPC2,Cluster 4274,1,Component 537,0,0,1,0
1520,NOC2L,Cluster 549,4,Component 2,15,1,1,14
1521,COCH,Cluster 36,23,Component 2,1,0,1,1
1522,HSBP1,Cluster 29,25,Component 2,21,1,1,20
1523,TYK2,Cluster 1337,2,Component 2,12,3,1,9
1524,SORBS3,Cluster 1336,2,Component 2,1,0,1,1
1525,MAOA,Cluster 4273,1,Component 538,0,0,1,0
1526,NR2F1,Cluster 39,22,Component 2,1,0,1,1
1527,XPA,Cluster 4272,1,Component 539,0,0,1,0
1528,SLC8A2,Cluster 4271,1,Component 540,0,0,1,0
1529,TARDBP,Cluster 365,5,Component 2,10,2,1,8
1530,GASK1B,Cluster 16,30,Component 2,1,0,1,1
1531,SHPK,Cluster 760,3,Component 2,2,0,1,2
1532,ICAM5,Cluster 4270,1,Component 541,0,0,1,0
1533,REXO4,Cluster 13,33,Component 2,15,4,1,11
1534,GCC2,Cluster 4269,1,Component 542,0,0,1,0
1535,TALDO1,Cluster 759,3,Component 2,8,1,1,7
1536,SPATA20,Cluster 481,4,Component 2,2,0,1,2
1537,FGA,Cluster 244,6,Component 2,4,3,1,1
1538,CAPN1,Cluster 1335,2,Component 2,3,0,1,3
1539,GRSF1,Cluster 204,7,Component 2,13,2,1,11
1540,FOXO4,Cluster 4268,1,Component 543,0,0,1,0
1541,DNAJB2,Cluster 230,6,Component 2,4,1,1,3
1542,FMR1,Cluster 50,18,Component 2,13,2,1,11
1543,RNGTT,Cluster 458,4,Component 2,7,2,1,5
1544,APIP,Cluster 160,8,Component 2,2,1,1,1
1545,CSPP1,Cluster 5,52,Component 2,12,1,1,11
1546,RLF,Cluster 318,5,Component 2,4,0,1,4
1547,NCOR1,Cluster 256,6,Component 2,8,2,1,6
1548,NR2C1,Cluster 778,3,Component 2,2,1,1,1
1549,PNMT,Cluster 4267,1,Component 2,11,1,1,10
1550,SFN,Cluster 87,12,Component 2,3,0,1,3
1551,PRKCQ,Cluster 2,70,Component 2,7,1,1,6
1552,RNF111,Cluster 24,27,Component 2,15,1,1,14
1553,CCDC27,Cluster 4266,1,Component 544,0,0,1,0
1554,RBM8A,Cluster 1334,2,Component 2,5,0,1,5
1555,EDNRB,Cluster 110,10,Component 2,1,0,1,1
1556,GPHA2,Cluster 1333,2,Component 545,1,0,1,1
1557,PAWR,Cluster 4265,1,Component 546,0,0,1,0
1558,GTF3C1,Cluster 208,7,Component 2,9,3,1,6
1559,HADHB,Cluster 4264,1,Component 2,5,0,1,5
1560,MTMR11,Cluster 4263,1,Component 547,0,0,1,0
1561,PTPRZ1,Cluster 314,5,Component 2,5,2,1,3
1562,PCCA,Cluster 758,3,Component 2,1,0,1,1
1563,CNDP2,Cluster 25,26,Component 2,1,0,1,1
1564,TUBB6,Cluster 316,5,Component 2,4,0,1,4
1565,MYL12B,Cluster 37,22,Component 2,10,0,1,10
1566,TRMT12,Cluster 60,16,Component 2,7,2,1,5
1567,SPATA2,Cluster 89,12,Component 2,5,1,1,4
1568,GPR37,Cluster 757,3,Component 2,1,0,1,1
1569,NFYC,Cluster 364,5,Component 2,10,2,1,8
1570,HPS4,Cluster 1332,2,Component 2,6,0,1,6
1571,ITGB2,Cluster 27,26,Component 2,34,1,1,33
1572,PRSS37,Cluster 4262,1,Component 548,0,0,1,0
1573,PAMR1,Cluster 4261,1,Component 549,0,0,1,0
1574,CATSPERZ,Cluster 4260,1,Component 550,0,0,1,0
1575,GADD45GIP1,Cluster 325,5,Component 2,1,0,1,1
1576,PSMD4,Cluster 12,34,Component 2,38,3,1,35
1577,POLR2J3,Cluster 55,17,Component 2,1,0,1,1
1578,CRYZL1,Cluster 139,9,Component 2,6,1,1,5
1579,PARP12,Cluster 3,64,Component 2,66,14,1,52
1580,CACNB1,Cluster 4259,1,Component 551,0,0,1,0
1581,DPPA5,Cluster 4258,1,Component 552,0,0,1,0
1582,MACROD2,Cluster 4257,1,Component 553,0,0,1,0
1583,BBS10,Cluster 1331,2,Component 2,4,1,1,3
1584,TRMT11,Cluster 353,5,Component 2,11,3,1,8
1585,TIGD1,Cluster 4256,1,Component 554,0,0,1,0
1586,KCTD12,Cluster 86,12,Component 2,1,0,1,1
1587,SOX4,Cluster 1330,2,Component 2,2,1,1,1
1588,RNH1,Cluster 228,6,Component 2,5,0,1,5
1589,GON4L,Cluster 457,4,Component 2,12,2,1,10
1590,IRF1,Cluster 11,34,Component 2,65,15,1,50
1591,Q96NF6,Cluster 4255,1,Component 555,0,0,1,0
1592,PPP1R27,Cluster 4254,1,Component 556,0,0,1,0
1593,ARPC2,Cluster 312,5,Component 2,7,1,1,6
1594,NDUFA2,Cluster 57,16,Component 2,12,0,1,12
1595,MTMR14,Cluster 131,9,Component 2,1,0,1,1
1596,MR1,Cluster 4253,1,Component 557,0,0,1,0
1597,KBTBD11,Cluster 1329,2,Component 558,1,0,1,1
1598,ELOA,Cluster 756,3,Component 2,1,0,1,1
1599,ZNF510,Cluster 1328,2,Component 2,1,0,1,1
1600,ATP5PO,Cluster 1327,2,Component 2,21,2,1,19
1601,CENPT,Cluster 4252,1,Component 559,0,0,1,0
1602,SAGE1,Cluster 4251,1,Component 560,0,0,1,0
1603,RBM27,Cluster 523,4,Component 2,7,1,1,6
1604,TRPV4,Cluster 4250,1,Component 561,0,0,1,0
1605,MAX,Cluster 4249,1,Component 2,16,4,1,12
1606,UBXN10,Cluster 4248,1,Component 562,0,0,1,0
1607,ARMC6,Cluster 72,14,Component 2,3,1,1,2
1608,FCN3,Cluster 4247,1,Component 563,0,0,1,0
1609,PRAC1,Cluster 1326,2,Component 564,1,0,1,1
1610,EDRF1,Cluster 190,7,Component 2,2,0,1,2
1611,TNS2,Cluster 4246,1,Component 565,0,0,1,0
1612,SLC6A15,Cluster 4245,1,Component 566,0,0,1,0
1613,MXD4,Cluster 1325,2,Component 567,1,0,1,1
1614,PRKD2,Cluster 184,7,Component 2,2,0,1,2
1615,RALGAPA1,Cluster 4244,1,Component 568,0,0,1,0
1616,COL11A1,Cluster 117,10,Component 2,22,4,1,18
1617,CYB5R3,Cluster 1324,2,Component 2,6,1,1,5
1618,WIF1,Cluster 4243,1,Component 569,0,0,1,0
1619,ACTRT1,Cluster 4242,1,Component 570,0,0,1,0
1620,SSTR3,Cluster 4241,1,Component 571,0,0,1,0
1621,ARL6IP5,Cluster 776,3,Component 2,2,1,1,1
1622,TEX264,Cluster 311,5,Component 2,6,0,1,6
1623,DDX20,Cluster 1349,2,Component 2,2,1,1,1
1624,TMEM43,Cluster 131,9,Component 2,2,0,1,2
1625,SPATS1,Cluster 4240,1,Component 572,0,0,1,0
1626,CD99,Cluster 95,11,Component 2,7,1,1,6
1627,CCL8,Cluster 3,64,Component 2,27,7,1,20
1628,TVP23C,Cluster 4239,1,Component 573,0,0,1,0
1629,PPM1F,Cluster 138,9,Component 2,1,1,1,0
1630,IL5,Cluster 1323,2,Component 574,1,0,1,1
1631,SKIL,Cluster 310,5,Component 2,1,0,1,1
1632,HOXC11,Cluster 327,5,Component 352,3,1,1,2
1633,PAQR6,Cluster 4238,1,Component 575,0,0,1,0
1634,MYOF,Cluster 4237,1,Component 576,0,0,1,0
1635,ISCA1,Cluster 4236,1,Component 2,8,3,1,5
1636,KLHDC2,Cluster 127,9,Component 2,8,1,1,7
1637,RBBP8,Cluster 755,3,Component 2,7,0,1,7
1638,AP3D1,Cluster 4235,1,Component 2,15,2,1,13
1639,SUDS3,Cluster 108,11,Component 2,3,0,1,3
1640,UBAC1,Cluster 13,33,Component 2,7,2,1,5
1641,DCTN6,Cluster 9,36,Component 2,24,0,1,24
1642,TRIM23,Cluster 843,3,Component 2,4,3,1,1
1643,SELENOS,Cluster 534,4,Component 2,9,1,1,8
1644,MED1,Cluster 133,9,Component 2,25,6,1,19
1645,APBA2,Cluster 4234,1,Component 577,0,0,1,0
1646,C1QTNF1,Cluster 4233,1,Component 578,0,0,1,0
1647,ADK,Cluster 69,14,Component 2,7,0,1,7
1648,TAL2,Cluster 4232,1,Component 579,0,0,1,0
1649,DPEP3,Cluster 754,3,Component 2,1,0,1,1
1650,UBXN1,Cluster 108,11,Component 2,5,1,1,4
1651,MENT,Cluster 4231,1,Component 580,0,0,1,0
1652,LIPT1,Cluster 782,3,Component 2,3,2,1,1
1653,GCKR,Cluster 1322,2,Component 2,1,0,1,1
1654,F10,Cluster 39,22,Component 2,1,0,1,1
1655,CFAP20,Cluster 85,12,Component 2,21,1,1,20
1656,MRPL24,Cluster 12,34,Component 2,12,2,1,10
1657,CEP164,Cluster 4230,1,Component 581,0,0,1,0
1658,GRIA3,Cluster 4229,1,Component 582,0,0,1,0
1659,LOXL1,Cluster 753,3,Component 2,3,0,1,3
1660,SERPINA5,Cluster 1321,2,Component 2,1,0,1,1
1661,DLX6-AS1,Cluster 4228,1,Component 583,0,0,1,0
1662,CALCA,Cluster 4227,1,Component 584,0,0,1,0
1663,PRPF3,Cluster 457,4,Component 2,14,2,1,12
1664,SLC25A21,Cluster 1320,2,Component 585,1,0,1,1
1665,CXCL10,Cluster 3,64,Component 2,53,10,1,43
1666,BTF3,Cluster 4,61,Component 2,50,4,1,46
1667,GJB1,Cluster 752,3,Component 586,1,0,1,1
1668,TNNC1,Cluster 309,5,Component 2,3,1,1,2
1669,DDX54,Cluster 1319,2,Component 2,4,0,1,4
1670,UBASH3A,Cluster 2,70,Component 2,28,6,1,22
1671,APC2,Cluster 4226,1,Component 587,0,0,1,0
1672,ADAMTS17,Cluster 4225,1,Component 588,0,0,1,0
1673,PPFIA1,Cluster 227,6,Component 2,7,0,1,7
1674,GLDC,Cluster 26,26,Component 2,3,1,1,2
1675,GPR25,Cluster 4224,1,Component 589,0,0,1,0
1676,ZDHHC16,Cluster 503,4,Component 2,1,0,1,1
1677,WDFY3,Cluster 781,3,Component 2,1,0,1,1
1678,ANKRD6,Cluster 1318,2,Component 2,1,0,1,1
1679,ZNF157,Cluster 4223,1,Component 590,0,0,1,0
1680,POMT1,Cluster 751,3,Component 2,5,0,1,5
1681,CCDC97,Cluster 1317,2,Component 2,2,0,1,2
1682,UBE4A,Cluster 62,16,Component 2,17,2,1,15
1683,ESAM,Cluster 226,6,Component 2,5,1,1,4
1684,SNRPB,Cluster 20,29,Component 2,12,3,1,9
1685,SETDB1,Cluster 12,34,Component 2,16,4,1,12
1686,CASP10,Cluster 871,3,Component 2,10,1,1,9
1687,LDLR,Cluster 30,25,Component 2,6,1,1,5
1688,TRIM22,Cluster 3,64,Component 2,58,8,1,50
1689,ARNT,Cluster 259,6,Component 2,2,2,1,0
1690,CT55,Cluster 4222,1,Component 591,0,0,1,0
1691,RHOQ,Cluster 4221,1,Component 592,0,0,1,0
1692,ELMOD2,Cluster 4220,1,Component 593,0,0,1,0
1693,NEDD4L,Cluster 1343,2,Component 506,1,1,1,0
1694,BRD3OS,Cluster 1316,2,Component 2,1,0,1,1
1695,CNTFR,Cluster 750,3,Component 2,4,0,1,4
1696,ACP4,Cluster 4219,1,Component 594,0,0,1,0
1697,GCLM,Cluster 56,17,Component 2,5,2,1,3
1698,CYBB,Cluster 27,26,Component 2,29,3,1,26
1699,EPHA3,Cluster 4218,1,Component 595,0,0,1,0
1700,CNGB1,Cluster 4217,1,Component 596,0,0,1,0
1701,DERA,Cluster 101,11,Component 2,8,1,1,7
1702,PSMC3IP,Cluster 159,8,Component 2,6,1,1,5
1703,ATP1A1,Cluster 4216,1,Component 2,7,2,1,5
1704,ACTL6B,Cluster 183,7,Component 2,1,0,1,1
1705,HCRTR1,Cluster 749,3,Component 2,5,0,1,5
1706,PCDHB1,Cluster 4215,1,Component 597,0,0,1,0
1707,MAL2,Cluster 748,3,Component 2,1,0,1,1
1708,XAF1,Cluster 3,64,Component 2,67,16,1,51
1709,TRIM21,Cluster 3,64,Component 2,52,11,1,41
1710,SLC30A4,Cluster 4214,1,Component 598,0,0,1,0
1711,SP100,Cluster 3,64,Component 2,40,10,1,30
1712,MMADHC,Cluster 456,4,Component 2,10,1,1,9
1713,KCNH4,Cluster 4213,1,Component 599,0,0,1,0
1714,FAM89B,Cluster 857,3,Component 2,7,1,1,6
1715,KAZN,Cluster 4212,1,Component 600,0,0,1,0
1716,FAAH2,Cluster 518,4,Component 2,2,1,1,1
1717,MACROH2A2,Cluster 4211,1,Component 601,0,0,1,0
1718,SLC34A1,Cluster 803,3,Component 383,2,1,1,1
1719,DNAJC15,Cluster 137,9,Component 2,2,1,1,1
1720,ATMIN,Cluster 29,25,Component 2,15,1,1,14
1721,MRPS27,Cluster 308,5,Component 2,7,1,1,6
1722,AIRE,Cluster 4210,1,Component 602,0,0,1,0
1723,MMGT1,Cluster 50,18,Component 2,2,0,1,2
1724,SPPL2A,Cluster 24,27,Component 2,2,1,1,1
1725,KL,Cluster 4209,1,Component 603,0,0,1,0
1726,GRHL2,Cluster 455,4,Component 2,3,0,1,3
1727,ELOVL2,Cluster 4208,1,Component 604,0,0,1,0
1728,MYO1F,Cluster 328,5,Component 2,19,4,1,15
1729,NRCAM,Cluster 4207,1,Component 605,0,0,1,0
1730,CLDN3,Cluster 498,4,Component 2,2,0,1,2
1731,SNAI2,Cluster 16,30,Component 2,1,1,1,0
1732,TAPBPL,Cluster 11,34,Component 2,15,2,1,13
1733,LUC7L3,Cluster 143,9,Component 2,32,4,1,28
1734,MPLKIP,Cluster 834,3,Component 2,6,1,1,5
1735,SELENBP1,Cluster 15,31,Component 2,9,1,1,8
1736,ITPA,Cluster 20,29,Component 2,14,3,1,11
1737,CACNG3,Cluster 4206,1,Component 606,0,0,1,0
1738,NAP1L1,Cluster 4205,1,Component 2,17,2,1,15
1739,RBPMS2,Cluster 4204,1,Component 607,0,0,1,0
