Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1021,AGFG1,Cluster 494,4,Component 2,2,0,1,2
1022,ALKBH7,Cluster 325,5,Component 2,7,2,1,5
1023,EMC6,Cluster 6,45,Component 2,27,1,1,26
1024,SAMD13,Cluster 4428,1,Component 364,0,0,1,0
1025,ATAD2B,Cluster 362,5,Component 2,1,1,1,0
1026,TXNL1,Cluster 25,26,Component 2,22,1,1,21
1027,DIS3,Cluster 187,7,Component 2,15,3,1,12
1028,DPYSL2,Cluster 1394,2,Component 2,3,0,1,3
1029,CCL11,Cluster 805,3,Component 2,1,0,1,1
1030,SVIP,Cluster 4427,1,Component 365,0,0,1,0
1031,RNASE2,Cluster 164,8,Component 2,10,1,1,9
1032,PRRG3,Cluster 4426,1,Component 366,0,0,1,0
1033,AVPI1,Cluster 1393,2,Component 2,1,0,1,1
1034,CRYGB,Cluster 4425,1,Component 367,0,0,1,0
1035,DPYSL3,Cluster 4424,1,Component 368,0,0,1,0
1036,CEPT1,Cluster 1392,2,Component 2,6,0,1,6
1037,MYO5C,Cluster 4423,1,Component 369,0,0,1,0
1038,IMPA1,Cluster 5,52,Component 2,20,1,1,19
1039,HRC,Cluster 804,3,Component 370,1,0,1,1
1040,BACE1,Cluster 1391,2,Component 2,2,0,1,2
1041,NBDY,Cluster 71,14,Component 2,2,0,1,2
1042,MAN2A1,Cluster 1390,2,Component 2,6,2,1,4
1043,IL11RA,Cluster 324,5,Component 2,3,1,1,2
1044,STXBP3,Cluster 243,6,Component 2,9,2,1,7
1045,HPD,Cluster 4422,1,Component 371,0,0,1,0
1046,C5,Cluster 1389,2,Component 2,1,0,1,1
1047,CLMN,Cluster 4421,1,Component 372,0,0,1,0
1048,XYLT2,Cluster 481,4,Component 2,1,0,1,1
1049,TSHB,Cluster 323,5,Component 2,2,0,1,2
1050,MMP24,Cluster 4420,1,Component 373,0,0,1,0
1051,TNFRSF10A,Cluster 9,36,Component 2,5,0,1,5
